tran_no,line_no,tran_date,fb_id,tran_currency,supp_code,Supplier Name,comments,expense_category,expense,usage,cost_center,Cost Center Desc,analysis_code,Analysis Desc,subanalysis_code,Sub Analsysi Desc,remarks,destn_fbid,destn_usage,UniqueId,,,
AEXP-000001-2018,1,31/01/2018,L018-NJSP,AUD,AS001125,EXXON MOBIL,17-23/01/18 REGIONAL ADL FUEL UPLIFTS,FUEL - FINANCE,NULL,FUEL ACCRUAL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,,,
AEXP-000002-2018,1,31/01/2018,L018-NJSP,AUD,AS001777,WORLD FUEL SERVICES AUSTRALIA,21/01/18 REGIONAL LEA FUEL UPLIFT,FUEL - FINANCE,NULL,FUEL ACCRUAL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,,,
AEXP-000003-2018,1,31/01/2018,L018-NJSP,AUD,AS000088,AIR CONNECTION PTY LTD,technical- direct mech main,OVERHDS HIGH -TECH,NULL,DIR MECHANICAL MAINT,au-adl,Adelaide - Location,ZA003,Apportionment,ZZ999,ZZ-Default SAC code,NULL,NULL,NULL,2,,,
AEXP-000004-2018,1,01/02/2018,L017-NJEP,AUD,AS001282,PEL-AIR AVIATION PTY LTD,NULL,DIRECTOPSSPEND -COMM,Cross Hire's for Oz Minerals Dec 2017,AIRCRAFT HIRE,AU-PUG,Port Augusta,CA503,Prominent Hill,ZZ999,ZZ-Default SAC code,NULL,NULL,NULL,3,,,
AEXP-000005-2018,1,01/02/2018,L018-NJSP,AUD,AS001125,EXXON MOBIL,15-30/01/18 REGIONAL ADL FUEL UPLIFTS,FUEL - FINANCE,NULL,FUEL ACCRUAL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,,,
AEXP-000006-2018,1,01/02/2018,L017-NJEP,AUD,AS000327,BELMONT OASIS LEISURE CENTRE,NULL,OVERHDS LOW - COMM,Cabin Crew Training,DIR TRAIN - INITIAL,AU-PER,Perth - Location,CA401,Regional,ST352,ST-Flight Attendants,NULL,NULL,NULL,5,,,
AEXP-000007-2018,1,01/02/2018,L008-JSPL,AUD,AS002561,DO NOT USE SEE AS000109,NULL,DIRECTOPSSPEND -TECH,NULL,PO GRNI AT CUTOVER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,,,
AEXP-000008-2018,1,01/02/2018,L008-JSPL,AUD,AS001568,EASTMAN CHEMICAL AUSTRALIA P/L,NULL,DIRECTOPSSPEND -TECH,NULL,PO GRNI AT CUTOVER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,,,
AEXP-000009-2018,1,01/02/2018,L008-JSPL,AUD,AS001233,OAKS PLAZA PIER,HENDERSON 17.01.18,OVERHDS LOW - OPS,NULL,DIR TRAINING GEN,AU-ADL,Adelaide - Location,CA501,Santos,ST352,ST-Flight Attendants,NULL,NULL,NULL,8,,,
AEXP-000010-2018,1,01/02/2018,L008-JSPL,AUD,AS001263,"MANTRA ON MURRAY, PERTH",HOLGATE 16/01 NO SHOW,OVERHDS LOW - OPS,NULL,DIR OH ACCOM - BASER,AU-PER,Perth - Location,CA401,Regional,ST303,ST-First Officers,NULL,NULL,NULL,9,,,
AEXP-000011-2018,1,01/02/2018,L008-JSPL,AUD,AS001108,MELBOURNE AVIATION PRECINCT,NULL,OVERHDS HIGH -TECH,Lease - Office Space,DIR RENT,au-mel,Melbourne - Location,CA301,Qantas Freight,FM999,FM-Default SAC,NULL,NULL,NULL,10,,,
AEXP-000011-2018,2,01/02/2018,L008-JSPL,AUD,AS001108,MELBOURNE AVIATION PRECINCT,NULL,OVERHDS HIGH -TECH,Lease - Containers,DIR RENT,au-mel,Melbourne - Location,CA301,Qantas Freight,FM011,Car Park,NULL,NULL,NULL,11,,,
AEXP-000012-2018,1,01/02/2018,L018-NJSP,AUD,AS000390,CABCHARGE AUSTRALIA LIMITED,NULL,OVERHDS LOW - OPS,CBBN-003 6/11 - 3/12/17,DIR OH TRAVEL - TAXI,AU-BNE,Brisbane - Location,CA201,Qantaslink 717,ST303,ST-First Officers,NULL,NULL,NULL,12,,,
AEXP-000012-2018,2,01/02/2018,L018-NJSP,AUD,AS000390,CABCHARGE AUSTRALIA LIMITED,NULL,OVERHDS LOW - OPS,CBBN-004 6/11-3/12/17,DIR OH TRAVEL - TAXI,AU-BNE,Brisbane - Location,CA201,Qantaslink 717,ST352,ST-Flight Attendants,NULL,NULL,NULL,13,,,
AEXP-000012-2018,3,01/02/2018,L018-NJSP,AUD,AS000390,CABCHARGE AUSTRALIA LIMITED,NULL,OVERHDS LOW - OPS,CBCB-002 6/11-3/12/17,DIR OH TRAVEL - TAXI,AU-CBR,Canberra - Location,CA201,Qantaslink 717,ST302,ST-Captains,NULL,NULL,NULL,14,,,
AEXP-000012-2018,4,01/02/2018,L018-NJSP,AUD,AS000390,CABCHARGE AUSTRALIA LIMITED,NULL,OVERHDS LOW - OPS,CBCB-003 6/11-3/12/17,DIR OH TRAVEL - TAXI,AU-CBR,Canberra - Location,CA201,Qantaslink 717,ST303,ST-First Officers,NULL,NULL,NULL,15,,,
AEXP-000012-2018,5,01/02/2018,L018-NJSP,AUD,AS000390,CABCHARGE AUSTRALIA LIMITED,NULL,OVERHDS LOW - OPS,CBCB-004- 6/11-3/12/17,DIR OH TRAVEL - TAXI,AU-CBR,Canberra - Location,CA201,Qantaslink 717,ST352,ST-Flight Attendants,NULL,NULL,NULL,16,,,
AEXP-000012-2018,6,01/02/2018,L018-NJSP,AUD,AS000390,CABCHARGE AUSTRALIA LIMITED,NULL,OVERHDS LOW - OPS,CBCS-002 6/11-3/12/17,DIR OH TRAVEL - TAXI,AU-CNS,Cairns - Location,CA201,Qantaslink 717,ST302,ST-Captains,NULL,NULL,NULL,17,,,
AEXP-000012-2018,7,01/02/2018,L018-NJSP,AUD,AS000390,CABCHARGE AUSTRALIA LIMITED,NULL,OVERHDS LOW - OPS,CBCS-003 6/11-3/12/17,DIR OH TRAVEL - TAXI,AU-CNS,Cairns - Location,CA201,Qantaslink 717,ST303,ST-First Officers,NULL,NULL,NULL,18,,,
AEXP-000012-2018,8,01/02/2018,L018-NJSP,AUD,AS000390,CABCHARGE AUSTRALIA LIMITED,NULL,OVERHDS LOW - OPS,CBCS-004 6/11-3/12/17,DIR OH TRAVEL - TAXI,AU-CNS,Cairns - Location,CA201,Qantaslink 717,ST352,ST-Flight Attendants,NULL,NULL,NULL,19,,,
AEXP-000012-2018,9,01/02/2018,L018-NJSP,AUD,AS000390,CABCHARGE AUSTRALIA LIMITED,NULL,OVERHDS LOW - OPS,CBDN-002 6/11-3/12/17,DIR OH TRAVEL - TAXI,AU-DRW,Darwin - Location,CA201,Qantaslink 717,ST302,ST-Captains,NULL,NULL,NULL,20,,,
AEXP-000012-2018,10,01/02/2018,L018-NJSP,AUD,AS000390,CABCHARGE AUSTRALIA LIMITED,NULL,OVERHDS LOW - OPS,CBDN-003 6/11-3/12/17,DIR OH TRAVEL - TAXI,AU-DRW,Darwin - Location,CA201,Qantaslink 717,ST303,ST-First Officers,NULL,NULL,NULL,21,,,
AEXP-000012-2018,11,01/02/2018,L018-NJSP,AUD,AS000390,CABCHARGE AUSTRALIA LIMITED,NULL,OVERHDS LOW - OPS,CBDN 004 6/11-3/12/17,DIR OH TRAVEL - TAXI,AU-DRW,Darwin - Location,CA201,Qantaslink 717,ST352,ST-Flight Attendants,NULL,NULL,NULL,22,,,
AEXP-000012-2018,12,01/02/2018,L018-NJSP,AUD,AS000390,CABCHARGE AUSTRALIA LIMITED,NULL,OVERHDS LOW - OPS,CBHB 002 6/11-3/12/17,DIR OH TRAVEL - TAXI,AU-HBA,Hobart - Location,CA201,Qantaslink 717,ST302,ST-Captains,NULL,NULL,NULL,23,,,
AEXP-000012-2018,13,01/02/2018,L018-NJSP,AUD,AS000390,CABCHARGE AUSTRALIA LIMITED,NULL,OVERHDS LOW - OPS,CBHB 003 6/11-3/12/17,DIR OH TRAVEL - TAXI,AU-HBA,Hobart - Location,CA201,Qantaslink 717,ST303,ST-First Officers,NULL,NULL,NULL,24,,,
AEXP-000012-2018,14,01/02/2018,L018-NJSP,AUD,AS000390,CABCHARGE AUSTRALIA LIMITED,NULL,OVERHDS LOW - OPS,CBHB 004 6/11-3/12/17,DIR OH TRAVEL - TAXI,AU-HBA,Hobart - Location,CA201,Qantaslink 717,ST352,ST-Flight Attendants,NULL,NULL,NULL,25,,,
AEXP-000012-2018,15,01/02/2018,L018-NJSP,AUD,AS000390,CABCHARGE AUSTRALIA LIMITED,NULL,OVERHDS LOW - OPS,CBPH 002 6/11-3/12/17,DIR OH TRAVEL - TAXI,AU-PER,Perth - Location,CA201,Qantaslink 717,ST302,ST-Captains,NULL,NULL,NULL,26,,,
AEXP-000012-2018,16,01/02/2018,L018-NJSP,AUD,AS000390,CABCHARGE AUSTRALIA LIMITED,NULL,OVERHDS LOW - OPS,CBPH 003 6/11-3/12/17,DIR OH TRAVEL - TAXI,AU-PER,Perth - Location,CA201,Qantaslink 717,ST303,ST-First Officers,NULL,NULL,NULL,27,,,
AEXP-000012-2018,17,01/02/2018,L018-NJSP,AUD,AS000390,CABCHARGE AUSTRALIA LIMITED,NULL,OVERHDS LOW - OPS,CBPH 004 6/11-3/12/17,DIR OH TRAVEL - TAXI,AU-PER,Perth - Location,CA201,Qantaslink 717,ST352,ST-Flight Attendants,NULL,NULL,NULL,28,,,
AEXP-000012-2018,18,01/02/2018,L018-NJSP,AUD,AS000390,CABCHARGE AUSTRALIA LIMITED,NULL,OVERHDS LOW - OPS,CBSY 002 6/11-3/12/17,DIR OH TRAVEL - TAXI,AU-SYD,Sydney - Location,CA201,Qantaslink 717,ST302,ST-Captains,NULL,NULL,NULL,29,,,
AEXP-000012-2018,19,01/02/2018,L018-NJSP,AUD,AS000390,CABCHARGE AUSTRALIA LIMITED,NULL,OVERHDS LOW - OPS,CBSY 003 6/11-3/12/17,DIR OH TRAVEL - TAXI,AU-SYD,Sydney - Location,CA201,Qantaslink 717,ST303,ST-First Officers,NULL,NULL,NULL,30,,,
