fb_id,tran_no,tran_date,supp_code,usage,remarks,cost_center,analysis_code,subanalysis_code,
CORCOMFB,CO33APIN/0963/19,05-Jul-18,S02367,12034-0002,"Varadarajan Vanchi/Lease No.3074,Dt.27.06.2018/CHNGH/Jun'18/Twds rent for Chennai Guest House - Krishna Towers-Flat No.B20 for the month.",ADM,,,
CORCOMFB,CO33APIN/0964/19,05-Jul-18,S02368,12034-0002,"Jayanthi Vanchi/Lease No.3075,Dt.27.06.2018/CHNGH/Jun'18/Twrds Twds rent for Chennai Guest House - Krishna Towers-Flat No.B20 for the monrh.",ADM,,,
CORCOMFB,CO33APIN/0965/19,05-Jul-18,S02635,12034-0002,"Anantha Valli Subramanian/Lease No. 3085,Dt.27.06.2018/CHN GH/Jun'18/Twds rent for Chennai Guest House - Krishna Towers -Flat No.A23 for the month.",ADM,,,
CORCOMFB,CO33APIN/0966/19,05-Jul-18,S02693,12034-0002,"Chandrasekhar/Lease No.3086,Dt.27.06.2018/CHN GH/Jun'18/Twds rent for Chennai Guest House -Krishna Towers-Flat No.A20 for the month.",ADM,,,
CORCOMFB,CO33APIN/0967/19,05-Jul-18,S03422,12034-0002,"S.Balachandar/Inv No.gst 005,Dt.01.07.2018/CHN GH/Jun'18/Twrds rent for Guest house  located @ No.19. Venkatrathinam Nagar,Adyar, Chennai -600020 for the month/Lease Period -10.02.2018 -09.01.2019(Rs. 175000 p.m.)",ADM,,,
CORCOMFB,CO33APIN/0969/19,04-Jul-18,S03482,25036-0002,"Corporate concepts, #INV No - 508, #Inv Dt - 30 Jun 18,  towards purchase the Ceramic white board for 7th floor Shyamala Jayaraman cabin",ADM,,,
CORCOMFB,CO33APIN/0970/19,05-Jul-18,S02514,25058-0003,"S.K.Electricals, #Inv Dt- 26 June 18, #Inv No - 148, towards purchased the Exhaust Fans purchased for TGIM and Rest Room",ADM,,,
CORCOMFB,CO33APIN/0976/19,10-Jul-18,S00377,19096-0004,"Membrane Hitec/Inv No.991819200974,Dt.26.04.2018/26.04.2018 to 24.05.2018/Twrds Drinking water charges for Chennai office for the period;/80% - Corp, 20% - Tech.",ADM,,,
CORCOMFB,CO33APIN/0978/19,10-Jul-18,S00377,19096-0004,"Membrane Hitec/Inv No.991819201016,Dt.27.04.2018/26.04.2018 to 24.05.2018/Twrds Drinking water charges for Chennai office for the period;/80% - Corp, 20% - Tech.
",ADM,,,
CORCOMFB,CO33APIN/0979/19,10-Jul-18,S00377,19096-0004,"Membrane Hitec/Inv No.991819201099,Dt.30/04/2018/26.04.2018 to 24.05.2018/Twrds Drinking water charges for Chennai office for the period;/80% - Corp, 20% - Tech.
",ADM,,,
CORCOMFB,CO33APIN/0980/19,10-Jul-18,S00377,19096-0004,"Membrane Hitec/Inv No.991819201163,Dt.02/05/2018/26.04.2018 to 24.05.2018/Twrds Drinking water charges for Chennai office for the period;/80% - Corp, 20% - Tech.
",ADM,,,
CORCOMFB,CO33APIN/0981/19,10-Jul-18,S00377,19096-0004,"Membrane Hitec/Inv No.991819201209,Dt.03/05/2018/26.04.2018 to 24.05.2018/Twrds Drinking water charges for Chennai office for the period;/80% - Corp, 20% - Tech.
",ADM,,,
CORCOMFB,CO33APIN/0982/19,10-Jul-18,S00377,19096-0004,"Membrane Hitec/Inv No.991819201262,Dt.04/05/2018/26.04.2018 to 24.05.2018/Twrds Drinking water charges for Chennai office for the period;/80% - Corp, 20% - Tech.",ADM,,,
CORCOMFB,CO33APIN/0983/19,10-Jul-18,S00377,19096-0004,"Membrane Hitec/Inv No.991819201354,Dt.07/05/2018/26.04.2018 to 24.05.2018/Twrds Drinking water charges for Chennai office for the period;/80% - Corp, 20% - Tech.
",ADM,,,
CORCOMFB,CO33APIN/0984/19,10-Jul-18,S00377,19096-0004,"Membrane Hitec/Inv No.991819201421,Dt.08/05/2018/26.04.2018 to 24.05.2018/Twrds Drinking water charges for Chennai office for the period;/80% - Corp, 20% - Tech.
",ADM,,,
CORCOMFB,CO33APIN/0985/19,10-Jul-18,S00377,19096-0004,"Membrane Hitec/Inv No.991819201463,Dt.09/05/2018/26.04.2018 to 24.05.2018/Twrds Drinking water charges for Chennai office for the period;/80% - Corp, 20% - Tech.
",ADM,,,
CORCOMFB,CO33APIN/0986/19,10-Jul-18,S00377,19096-0004,"Membrane Hitec/Inv No.991819201498,Dt.10/05/2018/26.04.2018 to 24.05.2018/Twrds Drinking water charges for Chennai office for the period;/80% - Corp, 20% - Tech.
",ADM,,,
CORCOMFB,CO33APIN/0987/19,10-Jul-18,S00377,19096-0004,"Membrane Hitec/Inv No.991819201528,Dt.11/05/2018/26.04.2018 to 24.05.2018/Twrds Drinking water charges for Chennai office for the period;/80% - Corp, 20% - Tech.
",ADM,,,
CORCOMFB,CO33APIN/0988/19,11-Jul-18,S00377,19096-0004,"Membrane Hitec/Inv No.991819201624,Dt.14/05/2018/26.04.2018 to 24.05.2018/Twrds Drinking water charges for Chennai office for the period;/80% - Corp, 20% - Tech.
",ADM,,,
CORCOMFB,CO33APIN/0989/19,11-Jul-18,S00377,19096-0004,"Membrane Hitec/Inv No.991819201589,Dt.14/05/2018/26.04.2018 to 24.05.2018/Twrds Drinking water charges for Chennai office for the period;/80% - Corp, 20% - Tech.
",ADM,,,
CORCOMFB,CO33APIN/0990/19,11-Jul-18,S00377,19096-0004,"Membrane Hitec/Inv No.991819201639,Dt.15/05/2018/26.04.2018 to 24.05.2018/Twrds Drinking water charges for Chennai office for the period;/80% - Corp, 20% - Tech.",ADM,,,
CORCOMFB,CO33APIN/0991/19,11-Jul-18,S00377,19096-0004,"Membrane Hitec/Inv No.991819201678,Dt.16/05/2018/26.04.2018 to 24.05.2018/Twrds Drinking water charges for Chennai office for the period;/80% - Corp, 20% - Tech.
",ADM,,,
CORCOMFB,CO33APIN/0992/19,11-Jul-18,S00377,19096-0004,"Membrane Hitec/Inv No.991819201730,Dt.17/05/2018/26.04.2018 to 24.05.2018/Twrds Drinking water charges for Chennai office for the period;/80% - Corp, 20% - Tech.",ADM,,,
CORCOMFB,CO33APIN/0993/19,11-Jul-18,S00377,19096-0004,"Membrane Hitec/Inv No.991819201778,Dt.18/05/2018/26.04.2018 to 24.05.2018/Twrds Drinking water charges for Chennai office for the period;/80% - Corp, 20% - Tech.",ADM,,,
CORCOMFB,CO33APIN/0994/19,11-Jul-18,S00377,19096-0004,"Membrane Hitec/Inv No.991819201829,Dt.19/05/2018/26.04.2018 to 24.05.2018/Twrds Drinking water charges for Chennai office for the period;/80% - Corp, 20% - Tech.
",ADM,,,
CORCOMFB,CO33APIN/0995/19,11-Jul-18,S00377,19096-0004,"Membrane Hitec/Inv No.991819201855,Dt.21/05/2018/26.04.2018 to 24.05.2018/Twrds Drinking water charges for Chennai office for the period;/80% - Corp, 20% - Tech.
",ADM,,,
CORCOMFB,CO33APIN/0996/19,11-Jul-18,S00377,19096-0004,"Membrane Hitec/Inv No.991819201908,Dt.22/05/2018/26.04.2018 to 24.05.2018/Twrds Drinking water charges for Chennai office for the period;/80% - Corp, 20% - Tech.",ADM,,,
